,away_lineup_key,event_length,names
1,"1627885, 1628427, 1630192, 1630210, 201580",365.0,"['Shaquille Harrison', 'Vlatko Cancar', 'Zeke Nnaji', 'Markus Howard', 'JaVale McGee']"
3,"1628420, 1629008, 1630210, 200794, 203210",205.0,"['Monte Morris', 'Michael Porter Jr.', 'Markus Howard', 'Paul Millsap', 'JaMychal Green']"
5,"1628420, 1629008, 200794, 203115, 203210",331.0,"['Monte Morris', 'Michael Porter Jr.', 'Paul Millsap', 'Will Barton', 'JaMychal Green']"
6,"1628420, 1629008, 203115, 203210, 203999",131.0,"['Monte Morris', 'Michael Porter Jr.', 'Will Barton', 'JaMychal Green', 'Nikola Jokic']"
7,"1628420, 1630210, 200794, 203085, 203210",24.0,"['Monte Morris', 'Markus Howard', 'Paul Millsap', 'Austin Rivers', 'JaMychal Green']"
8,"1628420, 1630210, 201580, 203085, 203210",48.0,"['Monte Morris', 'Markus Howard', 'JaVale McGee', 'Austin Rivers', 'JaMychal Green']"
9,"1628420, 1630267, 200794, 203085, 203210",78.0,"['Monte Morris', 'Facundo Campazzo', 'Paul Millsap', 'Austin Rivers', 'JaMychal Green']"
10,"1628420, 1630267, 200794, 203115, 203210",22.0,"['Monte Morris', 'Facundo Campazzo', 'Paul Millsap', 'Will Barton', 'JaMychal Green']"
12,"1628420, 1630267, 203085, 203932, 203999",110.0,"['Monte Morris', 'Facundo Campazzo', 'Austin Rivers', 'Aaron Gordon', 'Nikola Jokic']"
13,"1628420, 1630267, 203115, 203210, 203999",347.0,"['Monte Morris', 'Facundo Campazzo', 'Will Barton', 'JaMychal Green', 'Nikola Jokic']"
15,"1628420, 200794, 203085, 203115, 203210",33.0,"['Monte Morris', 'Paul Millsap', 'Austin Rivers', 'Will Barton', 'JaMychal Green']"
17,"1629008, 1630267, 203085, 203932, 203999",989.0,"['Michael Porter Jr.', 'Facundo Campazzo', 'Austin Rivers', 'Aaron Gordon', 'Nikola Jokic']"
18,"1630267, 203085, 203115, 203210, 203999",85.0,"['Facundo Campazzo', 'Austin Rivers', 'Will Barton', 'JaMychal Green', 'Nikola Jokic']"
19,"1630267, 203085, 203210, 203932, 203999",112.0,"['Facundo Campazzo', 'Austin Rivers', 'JaMychal Green', 'Aaron Gordon', 'Nikola Jokic']"
